Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
D,163,Cucurella,5,5,Chelsea,89,3.42,84,3.7,77,1.55,77,2.74,72,1.95,72,2.14,69,2.79,72,2.73,72,2.96,74,1.76,72,3.14,74,2.92,0,89,84,77,77,72,72,69,72,72,74,72,74,3.42,3.7,1.55,2.74,1.95,2.14,2.79,2.73,2.96,1.76,3.14,2.92,3.7,89,31.8,904,TRUE,D5,D5Chelsea
D,172,James,5,5,Chelsea,0,0,0,0,23,0.73,46,2.31,58,2.21,57,2.31,58,3.11,57,2.94,57,3.15,55,1.93,55,3.18,57,3,0,0,0,23,46,58,57,58,57,57,55,55,57,0,0,0.73,2.31,2.21,2.31,3.11,2.94,3.15,1.93,3.18,3,3.18,58,24.87,523,TRUE,D5,D5Chelsea
D,122,Estupiñan,5,5,Brighton,55,1.74,64,2.38,62,2.07,60,3.27,56,1.44,57,1.74,54,2.23,57,3.17,56,2.33,54,2.51,56,2.71,56,2.19,0,55,64,62,60,56,57,54,57,56,54,56,56,1.74,2.38,2.07,3.27,1.44,1.74,2.23,3.17,2.33,2.51,2.71,2.19,3.27,64,27.78,687,TRUE,D5,D5Brighton
D,79,Senesi,4.8,4.8,Bournemouth,71,2.93,69,2.4,68,1.62,68,1.65,67,1.32,67,1.98,65,2.11,66,2.22,63,1.57,62,2.22,63,2.2,61,1.32,0,71,69,68,68,67,67,65,66,63,62,63,61,2.93,2.4,1.62,1.65,1.32,1.98,2.11,2.22,1.57,2.22,2.2,1.32,2.93,71,23.54,790,TRUE,D4.8,D5Bournemouth
D,495,Pedro Porro,5.6,5.5,Spurs,88,2.88,84,3.12,84,4.2,82,3.43,80,3.72,77,4.71,77,1.67,77,4.07,78,3.35,78,3.17,77,3.85,79,2.74,0.72,88,84,84,82,80,77,77,77,78,78,77,79,2.88,3.12,4.2,3.43,3.72,4.71,1.67,4.07,3.35,3.17,3.85,2.74,4.71,88,40.91,961,TRUE,D5.5,D5.5Spurs
D,418,Trippier,5.7,5.7,Newcastle,67,1.88,67,3.03,66,2.95,68,1.95,66,2.19,66,2.79,65,3.21,62,2.5,64,2.06,63,2.51,64,3.54,63,2.98,0,67,67,66,68,66,66,65,62,64,63,64,63,1.88,3.03,2.95,1.95,2.19,2.79,3.21,2.5,2.06,2.51,3.54,2.98,3.54,68,31.59,781,TRUE,D5.7,D5.5Newcastle
D,415,Schär,5.4,5.4,Newcastle,91,1.86,88,3.17,85,2.98,84,1.79,83,2.15,82,2.65,81,3.06,80,2.49,81,1.99,81,2.55,82,3.55,81,3.04,0,91,88,85,84,83,82,81,80,81,81,82,81,1.86,3.17,2.98,1.79,2.15,2.65,3.06,2.49,1.99,2.55,3.55,3.04,3.55,91,31.28,999,TRUE,D5.4,D5.5Newcastle
D,340,Akanji,5.5,5.5,Man City,80,3.06,72,3.58,68,3.34,62,3.42,62,2.77,63,2.65,62,2.63,63,2.03,60,3.13,63,2.83,63,2.87,62,2.5,0,80,72,68,62,62,63,62,63,60,63,63,62,3.06,3.58,3.34,3.42,2.77,2.65,2.63,2.03,3.13,2.83,2.87,2.5,3.58,80,34.81,780,TRUE,D5.5,D5.5Man City
D,455,Bednarek,4,4,Southampton,92,1.79,85,1.02,83,2.75,82,0.49,80,2.55,78,2.02,77,1.08,76,1.32,77,1.41,76,1.26,77,1.32,76,1.64,0.01,92,85,83,82,80,78,77,76,77,76,77,76,1.79,1.02,2.75,0.49,2.55,2.02,1.08,1.32,1.41,1.26,1.32,1.64,2.75,92,18.65,959,TRUE,D4,D4Southampton
D,291,Faes,4.1,4,Leicester,92,1.23,89,2.45,85,2.5,83,2.76,81,2.47,81,1.4,82,1.79,81,1.99,81,2.47,79,2.21,80,1.37,80,2.91,0.12,92,89,85,83,81,81,82,81,81,79,80,80,1.23,2.45,2.5,2.76,2.47,1.4,1.79,1.99,2.47,2.21,1.37,2.91,2.91,92,25.55,994,TRUE,D4,D4Leicester
D,270,Greaves,4,4,Ipswich,90,2.26,86,2.08,83,2.8,81,1.89,80,2.79,77,0.99,80,1.83,79,1.93,80,2.4,79,2.37,78,2.15,80,1.81,0.04,90,86,83,81,80,77,80,79,80,79,78,80,2.26,2.08,2.8,1.89,2.79,0.99,1.83,1.93,2.4,2.37,2.15,1.81,2.8,90,25.3,973,TRUE,D4,D4Ipswich
