Pos,ID,Name,BV,SV,Team,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
M,608,Dibling,4.6,4.6,Southampton,61,3.36,60,2.98,55,2.47,54,2.5,52,2.57,51,2.33,53,2.65,52,2.36,56,3.02,52,2.44,53,2.94,0.1,70,61,60,55,54,52,51,53,52,56,52,53,2.54,3.36,2.98,2.47,2.5,2.57,2.33,2.65,2.36,3.02,2.44,2.94,3.36,70,32.16,669,TRUE,M4.6,M4.5Southampton
M,54,Rogers,5.4,5.4,Aston Villa,74,3.14,74,2.73,72,3.71,70,2.87,70,3.79,68,4.05,68,3.07,67,2.63,68,2.88,66,3.33,68,3.98,0.84,79,74,74,72,70,70,68,68,67,68,66,68,4.02,3.14,2.73,3.71,2.87,3.79,4.05,3.07,2.63,2.88,3.33,3.98,4.05,79,40.2,844,TRUE,M5.4,M5.5Aston Villa
M,57,Tielemans,5.5,5.5,Aston Villa,77,2.76,75,2.48,74,3.15,73,2.58,72,3.16,71,3.41,69,2.69,71,2.49,72,2.63,69,2.93,69,3.28,0,81,77,75,74,73,72,71,69,71,72,69,69,3.45,2.76,2.48,3.15,2.58,3.16,3.41,2.69,2.49,2.63,2.93,3.28,3.45,81,35.01,873,TRUE,M5.5,M5.5Aston Villa
M,83,Tavernier,5.5,5.5,Bournemouth,73,2.92,73,3.52,71,3.72,72,3.58,70,3.4,69,3.51,70,3.82,69,3.09,69,3.63,69,3.12,67,3.85,0,77,73,73,71,72,70,69,70,69,69,69,67,3.4,2.92,3.52,3.72,3.58,3.4,3.51,3.82,3.09,3.63,3.12,3.85,3.85,77,41.56,849,TRUE,M5.5,M5.5Bournemouth
M,78,Semenyo,5.6,5.6,Bournemouth,81,3.13,77,3.59,75,3.92,73,3.67,73,3.49,72,3.62,70,3.8,72,3.21,69,3.63,71,3.13,71,4.04,0.44,85,81,77,75,73,73,72,70,72,69,71,71,3.63,3.13,3.59,3.92,3.67,3.49,3.62,3.8,3.21,3.63,3.13,4.04,4.04,85,42.86,889,TRUE,M5.6,M5.5Bournemouth
M,95,Jensen,5.3,5.3,Brentford,66,2.35,71,2.78,69,2.6,67,2.91,66,2.28,65,2.5,66,2.19,64,2.6,66,2.31,66,2.2,64,2.51,0,35,66,71,69,67,66,65,66,64,66,66,64,1.57,2.35,2.78,2.6,2.91,2.28,2.5,2.19,2.6,2.31,2.2,2.51,2.91,71,28.8,765,TRUE,M5.3,M5.5Brentford
M,106,Schade,5.3,5.3,Brentford,47,2.21,48,2.52,49,2.44,49,2.87,48,2.16,48,2.4,48,2.04,46,2.48,44,2.03,42,1.81,38,2.04,0,52,47,48,49,49,48,48,48,46,44,42,38,3.1,2.21,2.52,2.44,2.87,2.16,2.4,2.04,2.48,2.03,1.81,2.04,3.1,52,28.1,559,TRUE,M5.3,M5.5Brentford
M,135,Minteh,5.4,5.4,Brighton,49,2.09,48,2.18,46,2.36,44,2.91,47,2.36,45,2.55,44,2.58,45,2.36,45,2.69,44,2.16,44,2.02,0.01,40,49,48,46,44,47,45,44,45,45,44,44,2.57,2.09,2.18,2.36,2.91,2.36,2.55,2.58,2.36,2.69,2.16,2.02,2.91,49,28.83,541,TRUE,M5.4,M5.5Brighton
M,618,Georginio,5.5,5.5,Brighton,42,1.82,40,1.83,39,2,40,2.57,41,2.06,42,2.35,40,2.3,41,2.13,40,2.41,40,1.98,41,1.85,0,57,42,40,39,40,41,42,40,41,40,40,41,3.51,1.82,1.83,2,2.57,2.06,2.35,2.3,2.13,2.41,1.98,1.85,3.51,57,26.81,503,TRUE,M5.5,M5.5Brighton
M,224,Harrison,5.3,5.3,Everton,65,2.92,64,2.64,60,2.83,61,2.38,61,2.98,60,2.33,58,2,63,2.61,60,1.99,60,2.74,60,2.42,0,69,65,64,60,61,61,60,58,63,60,60,60,3.07,2.92,2.64,2.83,2.38,2.98,2.33,2,2.61,1.99,2.74,2.42,3.07,69,30.91,741,TRUE,M5.3,M5.5Everton
