Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,279,Telles,5.1,5.1,Man Utd,85,3.39,0,0.00,43,1.80
G,280,Henderson,4.7,4.7,Man Utd,1,0.03,0,0.00,3,0.12
M,281,Rashford,9.4,9.4,Man Utd,48,2.54,0,0.00,45,2.41
M,282,van de Beek,5.7,5.7,Everton,10,0.98,18,1.71,26,1.00
D,283,Tuanzebe,4.4,4.4,Man Utd,0,0.00,0,0.00,0,0.00
D,284,Lindelöf,4.8,4.8,Man Utd,72,2.32,0,0.00,51,1.62
M,285,McTominay,5.4,5.4,Man Utd,65,2.17,0,0.00,58,1.97
D,286,Bailly,4.9,4.9,Man Utd,2,0.04,0,0.00,2,0.05
M,287,James,6.0,6.0,Leeds,65,5.09,64,3.09,65,2.89
D,288,Wan-Bissaka,5.1,5.1,Man Utd,18,0.62,0,0.00,47,1.55
M,289,Greenwood,7.1,7.1,Man Utd,0,0.00,0,0.00,0,0.00
D,290,Williams,3.9,3.9,Norwich,59,2.85,56,1.41,60,1.13
M,291,Shelvey,5.3,5.3,Newcastle,75,2.07,69,2.20,67,2.19
D,292,Ritchie,4.9,4.9,Newcastle,7,0.19,8,0.29,5,0.17
D,293,Clark,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00
G,294,Darlow,4.5,4.5,Newcastle,5,0.17,10,0.37,9,0.35
G,295,Dubravka,4.4,4.4,Newcastle,85,3.04,80,3.09,81,3.39
F,296,Wilson,7.1,7.1,Newcastle,4,0.20,31,1.59,58,3.02
M,297,Hendrick,4.8,4.8,Newcastle,0,0.00,0,0.00,0,0.00
M,298,Fraser,5.2,5.2,Newcastle,0,0.00,16,0.77,45,1.98
D,299,Lascelles,4.4,4.4,Newcastle,52,0.88,28,0.87,25,0.89
F,300,Gayle,5.2,5.2,Newcastle,4,0.26,3,0.22,1,0.13
D,301,Dummett,4.5,4.5,Newcastle,5,0.14,8,0.27,10,0.36
D,302,Manquillo,3.9,3.9,Newcastle,12,0.32,7,0.23,1,0.06
D,303,Krafth,4.3,4.3,Newcastle,73,1.24,37,1.14,11,0.36
M,304,Murphy,4.6,4.6,Newcastle,35,1.34,35,1.53,22,1.11
D,305,Schär,4.3,4.3,Newcastle,34,0.62,62,1.90,73,2.62
M,306,Hayden,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00
